TITEL,MODERNE ATTIKA-WOHNUNG MIT GROSSER\nDACHTERRASSE IN UNMITTELBARER SEENÄHE
UNTERTITEL,PH160 - Desenzano del Garda
TITEL_BILD,titel_bild.png
EINDRUCK_ORDNER,Bilder
OBJEKTTYP,Wohnung
ANZAHLZIMMER,3
ANZAHLSCHLAFZIMMER,2
ANZAHLBADEZIMMER,2
BRUTTOFLÄCHE,90 m²
HANDELSFLÄCHE,150 m²
KAUFPREISIMMOBILIE,575.000 EUR
FAHRSTUHL,ja
PKWSTELLFLÄCHEN,Doppelgarage
KAUFPREISGARAGE,Inkludiert
ETAGE,2. Etage
HEIZUNGSART,Fußbodenheizung
KLIMATISIERUNG,moderne Splitgeräte
ENERGIETRÄGER,Wärmepumpe
ENERGIEEFFIZIENZKLASSE,"Legge 90/2013, A"
ENERGIELEISTUNGSINDEX,"72,82 kWh/m²a"
BESCHREIBUNG,Erleben Sie hochwertiges Wohnen in dieser modernen Attika-Wohnung
AUSSTATTUNG,- Die Einbauküche ist im Kaufpreis nicht inkludiert und kann für 2
LAGEBESCHREIBUNG,Diese traumhafte Attika Wohnung befinde
DIST.AUTOBAHN(KM),4 km
DIST.ZENTRUM(KM),"1,2 km"
DIST.FLUGHAFEN(KM),30 km
